"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Second Dicova Challenge: Dataset and Performance Analysis for Diagnosis of Covid-19 Using Acoustics","N. K. Sharma; S. R. Chetupalli; D. Bhattacharya; D. Dutta; P. Mote; S. Ganapathy","LEAP Lab, Indian Institute of Science, Bangalore, India; LEAP Lab, Indian Institute of Science, Bangalore, India; LEAP Lab, Indian Institute of Science, Bangalore, India; LEAP Lab, Indian Institute of Science, Bangalore, India; LEAP Lab, Indian Institute of Science, Bangalore, India; LEAP Lab, Indian Institute of Science, Bangalore, India","ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","27 Apr 2022","2022","","","556","560","The Second Diagnosis of COVID-19 using Acoustics (DiCOVA) Challenge aimed at accelerating the research in acoustics based detection of COVID-19, a topic at the intersection of acoustics, signal processing, machine learning, and healthcare. This paper presents the details of the challenge, which was an open call for researchers to analyze a dataset of audio recordings consisting of breathing, cough and speech signals. This data was collected from individuals with and without COVID-19 infection, and the task in the challenge was a two-class classification. The development set audio recordings were collected from 965 (172 COVID-19 positive) individuals, while the evaluation set contained data from 471 individuals (71 COVID-19 positive). The challenge featured four tracks, one associated with each sound category of cough, speech and breathing, and a fourth fusion track. A baseline system was also released to benchmark the participants. In this paper, we present an overview of the challenge, the rationale for the data collection and the baseline system. Further, a performance analysis for the systems submitted by the 21 participating teams in the leaderboard is also presented.","2379-190X","978-1-6654-0540-9","10.1109/ICASSP43922.2022.9747188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9747188","COVID-19;acoustics;machine learning;respiratory diagnosis;healthcare","COVID-19;Conferences;Point of care;Machine learning;Data collection;Audio recording;Acoustics","acoustic signal processing;audio recording;audio signal processing;feature extraction;learning (artificial intelligence);pattern classification;signal classification","dicova Challenge;performance analysis;cough;speech signals;COVID-19 infection;development set audio recordings;172 COVID-19 positive;71 COVID-19","","3","","22","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"Deep Neural Network models for diagnosis of COVID-19 Respiratory diseases by analyzing CT-Scans and Explain-ability using trained models","T. Islam; S. Absar; S. M. Ali Ijtihad Nasif; S. Sakib Mridul","Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh","2022 International Conference on Inventive Computation Technologies (ICICT)","16 Aug 2022","2022","","","16","23","The Novel Coronavirus, popularly known as ""COVID-19,"" is causing a pandemic over the world. This virus causes severe respiratory disease in those who are afflicted. Symptoms such as fever, dry cough, and exhaustion can be used to identify this virus.These symptoms, on the other hand, are comparable to those of other viral or respiratory illnesses. There is no quick method to tell whether or not someone has been exposed to the virus.. To counter the aforementioned constraints, a quicker diagnosis is desired, which brings us to the study’s goal: to develop a diagnostic approach that incorporates previous data, mostly from COVID-19, as well as data-sets from other respiratory disorders. Deep learning models will be used to evaluate the data sets we’ve gathered, helping us to make more accurate and efficient decisions. convolutional Neural Network models such as VGG 19, Inception v3, MobileNet V2, and ResNet 50 are among the Deep Neural Network models we plan to deploy. These four models have been pre-trained to categorize CT-Scan images using trained learning methodologies. To obtain faster and more accurate answers, the outcomes of each model are compared among the models. A ""Hybrid"" model built of Convolutional Neural Network and a Support Vector Machine is also proposed in this research. The Hybrid Model is not as deep as the pre-trained models, but it is as accurate. We will be able to diagnose more correctly and effectively based on the correctness of the outcome and the shortest time necessary for categorization of images which will enable us to diagnose more accurately and effectively.In our research work we have collected data-sets from git-hub [19] and Kaggle and in total we have gathered 877 images of chest X-rays and CT-scans. We operated data-augmentation and smote analysis on our data-set. After training and testing our models we have obtained the following accuracy scores: 0.9384 validation-accuracy and 0.9361 train-accuracy for Hybrid model, 0.9806 validation-accuracy and 0.9692 train-accuracy for Inception-V3, 0.9806 validation-accuracy and 0.9846 train-accuracy for MobileNet V2, 0.7206 validation-accuracy and 0.6705 train-accuracy for Resnet 50, 0.9107 validation-accuracy and 0.9685 train-accuracy for VGG 19.","2767-7788","978-1-6654-0837-0","10.1109/ICICT54344.2022.9850458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9850458","COVID-19;Support Vector Machine;X-ray;CT-Scan;Deep Neural Network;VGG 19;Inception v3;MobileNet V2;ResNet-50;convolutional Neural Network","COVID-19;Deep learning;Support vector machines;Analytical models;Pulmonary diseases;Computational modeling;Neural networks","computerised tomography;convolutional neural nets;deep learning (artificial intelligence);diseases;epidemics;medical image processing;microorganisms;pneumodynamics;support vector machines","VGG 19;COVID-19 respiratory diseases;severe respiratory disease;viral illnesses;respiratory illnesses;respiratory disorders;deep learning models;convolutional neural network models;CT-Scan images;trained learning methodologies;hybrid model;deep neural network models;coronavirus;fever;dry cough;exhaustion;Inception v3;MobileNet V2;ResNet 50;support vector machine;chest X-rays;data-augmentation;smote analysis;validation-accuracy;train-accuracy","","","","19","IEEE","16 Aug 2022","","","IEEE","IEEE Conferences"
"IoT for COVID-19 Indoor Spread Prevention: Cough Detection, Air Quality Control and Contact Tracing","N. Petrović; Ð. Kocić","Faculty of Electronic Engineering, University of Niš, Nis, Serbia; Faculty of Electronic Engineering, University of Niš, Nis, Serbia","2021 IEEE 32nd International Conference on Microelectronics (MIEL)","25 Oct 2021","2021","","","297","300","Since the beginning of 2020, COVID-19 pandemic has influenced a variety of aspects related to our everyday activities. From entertainment and education to healthcare and transportation, most of the existing processes and routines have been reshaped in order to comply with safety guidelines regarding the COVID-19, either indoors or outdoors. In this paper, it is explored how cost-effective IoT devices in synergy with state-of-the-art embedded machine learning and blockchain can be adopted with aim to reduce the spread of this coronavirus indoors. The focus is on two main aspects: contact tracing and air quality control. As outcome of this research, prototypes are developed and presented, leveraging RFID for person identification, blockchain for contact tracing records, smartphone apps for notifications and deep learning-based cough detection executed on affordable IoT devices.","2159-1679","978-1-6654-4528-3","10.1109/MIEL52794.2021.9569099","Ministry of Education, Science and Technological Development of the Republic of Serbia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569099","","COVID-19;Surveillance;Transportation;Air quality;Ventilation;Regulation;Blockchains","air quality;blockchains;diseases;epidemics;Internet of Things;learning (artificial intelligence);radiofrequency identification","COVID-19 indoor spread prevention;air quality control;COVID-19 pandemic;entertainment;education;healthcare;transportation;safety guidelines;cost-effective IoT devices;state-of-the-art embedded machine learning;blockchain;contact tracing records;deep learning-based cough detection;affordable IoT devices;cough detection","","2","","31","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
"Analysis Of Mental Health During COVID-19 Pandemic","S. Kamble; D. Bandagale; H. Kanakia","MCA Department, Sardar Patel Institute of Technology, Mumbai, India; MCA Department, Sardar Patel Institute of Technology, Mumbai, India; MCA Department, Sardar Patel Institute of Technology, Mumbai, India","2021 5th International Conference on Information Systems and Computer Networks (ISCON)","14 Feb 2022","2021","","","1","5","This paper study the mental health during COVID-19 pandemic. In the end of 2019,new global disease was found called as coronavirus and it is also named as COVID-19. The main origin of this global virus is began in Wuhan (China) approximately in December 2019,and after sometime this virus is spread globally, specially in nearby countries of china[1]. The first COVID-19 positive patient was found in India 30 January 2020[1], and over the time virus was spread all over the India, and till date total number of cases in India is 10.4 Million and from this number of recovered cases are 10 Million and death cases are 151 Thousand[2] [3]. The way these global virus has badly affected the physical health of the people, the same way it has affected the mental health of people, that is the main reason of this study. In some cases early detection of COVID-19 is possible because there was common symptoms such as fever, cough, sore throat and shortness of breath and in some of the cases symptoms are not visible. COVID-19 is the infectious disease caused by the most recently discovered coronavirus. Over a period the number of COVID-19 cases increased across the world as a corona virus is spreading rapidly it create stress and fear, so because of this uncertain situations are happened globally. Front line COVID-19 warriors and other essential workers face many challenges while they work to keep us safe and maintain services also social distancing and lockdown restrictions have badly affected mental health of the people.[4]The main aim of this research paper is to examine mental health after the COVID-19.It's important to understand the immediate and eternal impact of this pandemic on the people's mental health because normal lifestyle as a before will not come back until we get vaccine for it. Nowadays Mental health is one of the most important thing but no one gives proper attention towards it so it has become a topic of more concern. Also it focuses mental health awareness by demonstrating on areas of diagnosis, treatment and support, research etc so that people can recover through it and understand itsokaynottobeokay.","","978-1-6654-0341-2","10.1109/ISCON52037.2021.9702414","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702414","COVID-19;Pandemic;Social distancing;Lockdown restrictions;Methodology","COVID-19;Machine learning algorithms;Pandemics;Infectious diseases;Mental health;Social factors;Coronaviruses","cognition;diseases;microorganisms;patient diagnosis","corona virus;line COVID-19 warriors;mental health awareness;COVID-19 pandemic;coronavirus;global virus;COVID-19 positive patient;death cases;social distancing;mental health","","","","13","IEEE","14 Feb 2022","","","IEEE","IEEE Conferences"
"Determining factors contributing to the psychological impact of the COVID-19 Pandemic using machine learning","C. A. V. Palattao; G. A. Solano; C. A. Tee; M. L. Tee","Department of Physical Sciences and Mathematics, University of the Philippines, Manila; Department of Physical Sciences and Mathematics, University of the Philippines, Manila; National Institute of Health, University of the Philippines, Manila; College of Medicine, University of the Philippines, Manila","2021 International Conference on Artificial Intelligence in Information and Communication (ICAIIC)","29 Apr 2021","2021","","","219","224","The COVID-19 pandemic has created a massive impact in the economy, healthcare, education and other aspects of society in each and every respect. Also greatly affected is the mental health of individuals. This study aims to determine the possible contributing factors to stress, anxiety, depression, and adverse psychological impact on the general population of the Philippines using machine learning approaches. The data gathered from 2119 participants who answered an online survey was analyzed using feature selection methods and machine learning classifiers to determine contributing factors to the aforementioned mental health issues. The results show that longer hours at home, on social media, age, how people rate their own health, pre-existence of a neuropsychiatric condition; wanting information on availability and effectiveness of a medicine or vaccine, being concerned for their family, feeling discriminated; and symptoms of body pain, difficulty breathing, and cough were good predictors of individuals being adversely impacted psychologically by the pandemic and others having elevated levels of stress, anxiety, depression.","","978-1-7281-7638-3","10.1109/ICAIIC51459.2021.9415276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9415276","Mental Health;Stress;Anxiety;Depression;Impact of Event;Machine Learning;Feature Selection","COVID-19;Pandemics;Social networking (online);Sociology;Machine learning;Mental health;Depression","diseases;epidemics;health care;learning (artificial intelligence);neurophysiology;pattern classification;social networking (online)","psychological impact;feature selection;machine learning classifiers;mental health;depression factor;COVID-19 pandemic;stress factor;anxiety factor;social media;neuropsychiatric condition;economy;healthcare;education;Philippines","","2","","18","IEEE","29 Apr 2021","","","IEEE","IEEE Conferences"
"An Ensemble Machine Learning Model to Investigate the Screening System for Identification of Potential Patients with COVID-19 in Sudan","A. A. Adam; N. A. A. Elhag; F. A. Saeed; M. Yagob; F. Mohamed; N. Eassa; H. S. Abdalaziz; M. A. Ahmed; S. F. Babiker","Al-Neelain University, Khartoum, Sudan; University of Gezira, Sudan; Al-Neelain University, Khartoum, Sudan; African Institute for Mathematical Sciences, Rwanda; Heriot-Watt University, UK; Al-Neelain University, Khartoum, Sudan; Al-Neelain University, Khartoum, Sudan; Basic Sciences Department, National Ribat University, Khartoum, Sudan; Africa City of Technology, Khartoum, Sudan","2021 International Congress of Advanced Technology and Engineering (ICOTEN)","27 Jul 2021","2021","","","1","5","This study aims at designing an ensemble Machine Learning Model to serve as a screening system to predict the potential of COVID-19 infection. according to specific parameters, it considers an online survey filled by 5966 participants from Khartoum City since Khartoum was under quarantine. Major statistical approaches were implemented as data cleaning, performing feature selection using Random Forest algorithm to elect the proper features, and finally, building the model on two parts: the first one used K-mode clustering algorithm whereas the second utilized Support Vector Classifier (SVC). The features included symptoms, age, underlying conditions, geographical location, the period of the symptoms, close contact with someone who has confirmed a case of coronavirus, and the number of deaths among the family members. The results indicated that the overall accuracy of the K-mode Part was 71 %; however, the sensitivity to predict cases as negative was 77%, while the accuracy of SVC Part was 76 %. The identity between predictions of the two Parts was 79%. The work concluded that the symptoms in the proposed Screen system – considering the highest weight- appeared as following: Fatigue, Headache, Fever, Gastrointestinal Disorders, Anosmia, Dry Cough, Short of Breath, and Chest Pain, respectively","","978-1-6654-1224-7","10.1109/ICOTEN52080.2021.9493517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9493517","COVID-19;K-mode Clustering;Machine Learning;Support Vector Classifier","COVID-19;Sensitivity;Urban areas;Static VAr compensators;Clustering algorithms;Support vector machine classification;Predictive models","biological organs;diseases;learning (artificial intelligence);medical computing;patient diagnosis;pattern clustering;pneumodynamics;statistical analysis;support vector machines","data cleaning;feature selection;random forest algorithm;K-mode clustering algorithm;support vector classifier;K-mode Part;screening system;COVID-19 infection;online survey;statistical approaches","","","","19","IEEE","27 Jul 2021","","","IEEE","IEEE Conferences"
"Symptomatic Covid-19 detection","A. Shaik; J. Suram; R. Dugyala","Vardhaman College of Engineering, Computer Science and Engineering Department, India; Vardhaman College of Engineering, Computer Science and Engineering Department, India; Vardhaman College of Engineering, Computer Science and Engineering Department, India","4th Smart Cities Symposium (SCS 2021)","9 May 2022","2021","2021","","186","188","Corona Virus Disease 2019 (COVID-19) is a disease caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). The first case was identified in Wuhan China, in December 2019, [5]. The most common symptoms are headache, loss of smell and taste, cough, sore throat, fever and breathing difficulties, [6]. We thought of building a model which can predict the virus without actually conducting the test. Our project mainly focuses on the following things Case-1: Symptomatic COVID-19 diagnosis from the symptoms such as Fever, Cough, Sore Throat, Shortness of Breath, Headache. Our model i.e., Machine Learning model takes the input as symptoms from the user and then it processes the input by detecting whether it is Positive or Negative. Case-2: In our application we have a survey form, in which we conduct a survey to the people regarding covid- 19 symptoms. So that we can deal with a larger number of training samples. In case the prediction made by the model was wrong then we can improve the model's performance by the data available from the survey. We believe that the essay will serve as a catalyst for the scientific community to begin open source, extendable, and transparent research in the fight against the COVID-19 pandemic.","","978-1-83953-658-8","10.1049/icp.2022.0338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770728","","","cellular biophysics;diseases;learning (artificial intelligence);medical computing;medical diagnostic computing;microorganisms;patient diagnosis;pneumodynamics","symptoms;headache;fever;breathing;cough;sore throat;machine learning model;COVID-19 pandemic;symptomatic Covid-19 detection;corona virus disease 2019;acute respiratory syndrome coronavirus 2;SARS-CoV-2;symptomatic COVID-19 diagnosis;catalyst","","","","","","9 May 2022","","","IET","IET Conferences"
"Using Machine Learning Approaches to Distinguish COVID-19 from Other Upper Respiratory Tract Infections","D. Rahhal; R. Alhamouri; A. Mustafa","Department of Computer and Information Systems, Jordan University of Science and Technology, Irbid, Jordan; Department of Computer and Information Systems, Jordan University of Science and Technology, Irbid, Jordan; Department of Computer and Information Systems, Jordan University of Science and Technology, Irbid, Jordan","2022 13th International Conference on Information and Communication Systems (ICICS)","4 Jul 2022","2022","","","393","399","COVID-19 has made its first debut in early December 2019 in Wuhan, China. The COVID-19 main symptoms are fever, sore throat, tiredness, and cough, which are quite similar to flu, cold, and allergic rhinitis symptoms. COVID, flu, allergic rhinitis, and cold are all caused by respiratory attacking viruses, and they transmit in the same way by droplets and contacting surfaces and bodies. Thereby, it becomes an urgent need for physicians and healthcare providers to differentiate between each case of the four diseases of cold, flu, allergic rhinitis, and COVID-19. Making an accurate diagnosis in a timely manner, maintain that the patient has the best chance to get to the best clinical outcome. Thus, to meet this aim, the current paper used a publicly available symptoms dataset and applied the Apriori algorithms to extract the most important rules between the symptoms. Furthermore, six classifying algorithms were used to predict the type of disease from its’ symptoms, these algorithms namely; Bagging, Random Forest, Extra Trees, Ada Boost, Stochastic gradient boosting, and voting ensemble. The experiments show that the voting ensemble algorithm achieved the highest classification testing accuracy (about 96.22%). As a conclusion, we conclude by demonstrating that using an ensemble technique may greatly increase classification accuracy and make COVID-19 easier to distinguish from other similar diseases. For the medical sector and the healthcare business, our results have significant theoretical and practical consequences.","2573-3346","978-1-6654-8097-0","10.1109/ICICS55353.2022.9811206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9811206","Machine Learning;Flu;COVID-19;Influenza;Allergy","COVID-19;Medical services;Prediction algorithms;Boosting;Classification algorithms;Task analysis;Random forests","data mining;decision trees;diseases;health care;learning (artificial intelligence);medical computing;patient diagnosis;pattern classification","machine learning approaches;upper respiratory tract;early December 2019;COVID-19 main symptoms;allergic rhinitis symptoms;respiratory attacking viruses;droplets;contacting surfaces;publicly available symptoms dataset;voting ensemble algorithm","","","","41","IEEE","4 Jul 2022","","","IEEE","IEEE Conferences"
"Analysis of Respiratory Signals in Spectral Domain for Detecting Respiratory Disorders with Emphasis on COVID-19","E. S. S. Dagar; R. K. Sunkaria","Department of Electronics and Communication Engineering, Dr. B R Ambedkar National Institute of Technology, Jalandhar, Punjab, India; Department of Electronics and Communication Engineering, Dr. B R Ambedkar National Institute of Technology, Jalandhar, Punjab, India","2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)","18 Jul 2022","2022","","","2088","2093","Sound signals from different processes of respiratory system are vital indicators of human health. With the onset of Coronavirus pandemic, the importance of early diagnosis of respiratory disorders has further been highlighted. In this paper, research works related to analysis of respiratory system functioning in spectral domain using acoustic signal processing methods has been reviewed with special focus on work related to COVID-19 diagnosis using non-invasive techniques. Various deep learning and machine learning models for identifying acoustic biomarkers of COVID-19 have been studied and summarised. Three modalities that have been considered are breathing, cough and voice recordings. Feature extraction techniques on these modalities have been reviewed for classification, prediction and similarity metrics analysis. Another vital health parameter is the rate of respiration that can be estimated by performing spectral analysis of sound signal envelope of breathe signal recording. Various datasets and pre-processing techniques related to sounds associated with symptoms of respiratory disorders including COVID-19 sounds have also been listed.","","978-1-6654-3789-9","10.1109/ICACITE53722.2022.9823571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9823571","Spectral Analysis;Acoustic signal processing;COVID-19;respiratory disorders;Machine and Deep Learning;Feature extraction","COVID-19;Measurement;Deep learning;Pandemics;Biomarkers;Feature extraction;Recording","acoustic signal processing;bioacoustics;diseases;feature extraction;learning (artificial intelligence);medical image processing;medical signal detection;medical signal processing;patient diagnosis;patient monitoring;pneumodynamics;spectral analysis","respiratory disorders;COVID-19 sounds;respiratory signals;spectral domain;sound signals;vital indicators;human health;early diagnosis;respiratory system functioning;acoustic signal;COVID-19 diagnosis;noninvasive techniques;deep learning;machine learning models;similarity metrics analysis;vital health parameter;spectral analysis;sound signal envelope;breathe signal recording","","","","31","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"L3-Net Deep Audio Embeddings to Improve COVID-19 Detection from Smartphone Data","M. G. Campana; A. Rovati; F. Delmastro; E. Pagani","Institute for Informatics and Telematics of the National Research Council of Italy (IIT-CNR), Pisa, Italy; Computer Science Department, University of Milano, Milan, Italy; Institute for Informatics and Telematics of the National Research Council of Italy (IIT-CNR), Pisa, Italy; Computer Science Department, University of Milano, Milan, Italy","2022 IEEE International Conference on Smart Computing (SMARTCOMP)","14 Jul 2022","2022","","","100","107","Smartphones and wearable devices, along with Artificial Intelligence, can represent a game-changer in the pandemic control, by implementing low-cost and pervasive solutions to recognize the development of new diseases at their early stages and by potentially avoiding the rise of new outbreaks. Some recent works show promise in detecting diagnostic signals of COVID-19 from voice and coughs by using machine learning and hand-crafted acoustic features. In this paper, we decided to investigate the capabilities of the recently proposed deep embedding model L3-Net to automatically extract meaningful features from raw respiratory audio recordings in order to improve the performances of standard machine learning classifiers in discriminating between COVID-19 positive and negative subjects from smartphone data. We evaluated the proposed model on 3 datasets, comparing the obtained results with those of two reference works. Results show that the combination of L3-Net with hand-crafted features overcomes the performance of the other works of 28.57% in terms of AUC in a set of subject-independent experiments. This result paves the way to further investigation on different deep audio embeddings, also for the automatic detection of different diseases.","2693-8340","978-1-6654-8152-6","10.1109/SMARTCOMP55677.2022.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9821076","Audio embeddings;Deep Learning;m-health;COVID-19","COVID-19;Pandemics;Wearable computers;Machine learning;Feature extraction;Data models;Data mining","diseases;feature extraction;learning (artificial intelligence);medical signal processing;smart phones","Artificial Intelligence;game-changer;pandemic control;pervasive solutions;outbreaks;diagnostic signals;coughs;hand-crafted acoustic features;recently proposed deep embedding model L;raw respiratory audio recordings;standard machine learning classifiers;negative subjects;smartphone data;reference works;hand-crafted features;subject-independent experiments;different deep audio embeddings;automatic detection;Net deep audio embeddings;COVID-19 detection;smartphones;wearable devices","","1","","41","IEEE","14 Jul 2022","","","IEEE","IEEE Conferences"
"Clinically Relevant Sound-Based Features in COVID-19 Identification: Robustness Assessment With a Data-Centric Machine Learning Pipeline","P. Matias; J. Costa; A. V. Carreiro; H. Gamboa; I. Sousa; P. Gómez; J. Sousa; N. Neuparth; P. Carreiro-Martins; F. Soares","Fraunhofer Portugal AICOS–Porto, Porto, Portugal; Fraunhofer Portugal AICOS–Porto, Porto, Portugal; Fraunhofer Portugal AICOS–Porto, Porto, Portugal; Laboratory for Instrumentation, Biomedical Engineering and Radiation Physics (LIBPhys), Faculdade de Ciências e Tecnologia, NOVA University of Lisbon, Caparica, Portugal; Fraunhofer Portugal AICOS–Porto, Porto, Portugal; NeuSpeLab, CTB, Universidad Politécnica de Madrid, Madrid, Spain; NOS Inovação, Campo Grande, Lisbon, Portugal; Comprehensive Health Research Center (CHRC), NOVA Medical School, Lisbon, Portugal; Allergy and Clinical Immunology Department, Centro Hospitalar Universitário de Lisboa Central (CHULC) EPE, Lisbon, Portugal; Fraunhofer Portugal AICOS–Porto, Porto, Portugal","IEEE Access","11 Oct 2022","2022","10","","105149","105168","As long as the COVID-19 pandemic is still active in most countries worldwide, rapid diagnostic continues to be crucial to mitigate the impact of seasonal infection waves. Commercialized rapid antigen self-tests proved they cannot handle the most demanding periods, lacking availability and leading to cost rises. Thus, developing a non-invasive, costless, and more decentralized technology capable of giving people feedback about the COVID-19 infection probability would fill these gaps. This paper explores a sound-based analysis of vocal and respiratory audio data to achieve that objective. This work presents a modular data-centric Machine Learning pipeline for COVID-19 identification from voice and respiratory audio samples. Signals are processed to extract and classify relevant segments that contain informative events, such as coughing or breathing. Temporal, amplitude, spectral, cepstral, and phonetic features are extracted from audio along with available metadata for COVID-19 identification. Audio augmentation and data balancing techniques are used to mitigate class disproportionality. The open-access Coswara and COVID-19 Sounds datasets were used to test the performance of the proposed architecture. Obtained sensitivity scores ranged from 60.00% to 80.00% in Coswara and from 51.43% to 77.14% in COVID-19 Sounds. Although previous works report higher accuracy on COVID-19 detection, this research focused on a data-centric approach by validating the quality of the samples, segmenting the speech events, and exploring interpretable features with physiological meaning. As the pandemic evolves, its lessons must endure, and pipelines such as the proposed one will help prepare new stages where quick and easy disease identification is essential.","2169-3536","","10.1109/ACCESS.2022.3211295","ConnectedHealth(grant numbers:46858); OSCAR(grant numbers:LISBOA-01-02B7-FEDER-051277,POCI-01-02B7-FEDER-051277); Competitiveness and Internationalisation Operational Programme (POCI); Lisbon Regional Operational Programme (LISBOA 2020); PORTUGAL 2020 Partnership Agreement; European Regional Development Fund (ERDF); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906975","COVID-19;speech;vocal tract;signal processing;feature extraction;data-centric;machine learning","COVID-19;Feature extraction;Signal processing;Larynx;Machine learning;Pandemics;Databases;Respiratory system;Lungs;Speech recognition","","","","","","56","CCBY","3 Oct 2022","","","IEEE","IEEE Journals"
"A Fusion Scheme of Texture Features for COVID-19 Detection of CT Scan Images","D. A. Zebari; A. M. Abdulazeez; D. Q. Zeebaree; M. S. Salih","Center of Scientific Research and Development, Nawroz Duhok University, Kurdistan Region, Iraq; Presidency of Duhok Polytechnic, Duhok University, Kurdistan Region, Iraq; Director of Research Center of Duhok Polytechnic, Duhok University, Kurdistan Region, Iraq; Research Center of Duhok Polytechnique, Duhok University, Kurdistan Region, Iraq","2020 International Conference on Advanced Science and Engineering (ICOASE)","31 May 2021","2020","","","1","6","Coronavirus (COVID-19) is a new contagious disease reasoned by a new virus that is widely spread over the world, this virus never has been identified in humans before. Respiratory disease can be affected by this virus such as flu with several symptoms, for example, fever, headache, cough, and pneumonia. COVID-19 presence in humans can be tested through blood samples or sputum while the result can be obtained in days. Further, biomedical image analysis assists in showing signs of pneumonia in a patient. Therefore, this paper aims to provide a fully automatic COVID-19 identification system by proposing a new fusion scheme of texture features for CT scan images. This paper presents a fusion scheme based on a machine learning system using three significant texture features, namely, Local Binary Pattern (LBP), Fractal Dimension (FD), and Grey Level Co-occurrence Matrices (GLCM). In experimental results, to demonstrate the efficiency of the proposed scheme we have collected 300 CT scan images from a publicly available database. The experimental result shows the performance of LBP, FD, and GLCM obtained an accuracy of 89.87%, 87.84%, and 90.98%, respectively while the proposed scheme yields better results by achieving 96.91% accuracy.","","978-1-6654-1579-8","10.1109/ICOASE51841.2020.9436538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9436538","covid-19;texture feature;classification;fusion;CT scan images","COVID-19;Support vector machines;Sensitivity;Databases;Computed tomography;Pulmonary diseases;Machine learning","computerised tomography;diseases;epidemics;feature extraction;image fusion;image texture;learning (artificial intelligence);matrix algebra;medical computing;medical image processing","texture features fusion;CT scan images;COVID-19 detection;respiratory disease;biomedical image analysis;COVID-19 identification system;coronavirus disease;machine learning;local binary pattern;fractal dimension;grey level co-occurrence matrices","","9","","26","IEEE","31 May 2021","","","IEEE","IEEE Conferences"
"AI Techniques for Detecting and Diagnosing COVID-19","K. C. Kurne; S. A. Alex; P. A","Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bengaluru, India; Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bengaluru, India; Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bengaluru, India","2022 International Conference for Advancement in Technology (ICONAT)","10 Mar 2022","2022","","","1","5","The new Coronavirus infection (COVID-19) which has been declared by the World Health Organization (WHO) has now spread all over the world. As per the few examinations, the COVID-19 has side effects like dry cough, sore throat, fever, gentle to direct respiratory disease and muscle throbs. The COVID-19 causes an adverse consequence on the lungs, it very well may be analyzed utilizing X-rays and CT scans of the lungs. As COVID-19 diagnosing is the lengthy process for testing and the vast majority of the strategies that are proposed might give false-positive and false-negative result. This paper predominantly points on the investigation and survey of the execution of Machine Learning (ML) and Artificial Intelligence (AI) techniques that are utilized to forestall and control the spread of coronavirus all across the world.","","978-1-6654-2577-3","10.1109/ICONAT53423.2022.9725835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725835","Machine Learning (ML);Artificial Intelligence (AI);COVID-19;Coronavirus image based diagnosis;Deep Learning (DL)","COVID-19;Technological innovation;Pandemics;Computed tomography;Pulmonary diseases;X-rays;Organizations","diseases;epidemics;learning (artificial intelligence);lung;medical diagnostic computing;microorganisms;patient diagnosis;pneumodynamics","COVID-19;coronavirus infection;World Health Organization;respiratory disease;muscle throbs;lungs;dry cough;sore throat;fever;CT scans;X-ray scans;machine learning;artificial intelligence techniques","","","","16","IEEE","10 Mar 2022","","","IEEE","IEEE Conferences"
